name,value,date
C++,5.57,2020_00_05
C++,6.16,2020_01_04
C++,6.79,2020_02_04
C++,6.78,2020_03_02
C++,6.13,2020_04_02
C++,5.95,2020_05_01
C++,6.21,2020_06_04
C++,6.84,2020_07_02
C++,7.11,2020_08_06
C++,6.94,2020_09_04
C#,0.38,2001_05_30
C#,0.43,2001_06_30
C#,0.38,2001_07_30
C#,0.39,2001_08_28
C#,0.42,2001_09_26
C#,0.76,2001_10_28
C#,0.59,2001_11_31
C#,0.62,2002_00_30
C#,0.74,2002_01_27
C#,0.74,2002_02_29
C#,1.18,2002_03_29
C#,1.16,2002_04_29
C#,1.46,2002_05_29
C#,1.36,2002_06_31
C#,1.46,2002_07_29
C#,1.65,2002_08_29
C#,1.78,2002_09_30
C#,2.38,2002_10_29
C#,2.45,2002_11_31
C#,1.99,2003_00_31
C#,1.98,2003_01_28
C#,2.38,2003_02_31
C#,1.88,2003_03_30
C#,1.94,2003_04_30
C#,1.78,2003_05_30
C#,2.00,2003_06_31
C#,2.06,2003_07_31
C#,1.94,2003_08_30
C#,1.90,2003_09_31
C#,1.71,2003_10_30
C#,1.80,2003_11_31
C#,2.18,2004_00_31
C#,2.24,2004_01_29
C#,2.14,2004_02_31
C#,1.88,2004_03_30
C#,1.65,2004_04_30
C#,1.67,2004_05_30
C#,1.63,2004_06_31
C#,1.63,2004_07_30
C#,1.64,2004_08_30
C#,1.50,2004_09_31
C#,1.95,2004_10_30
C#,2.20,2004_11_31
C#,2.36,2005_00_31
C#,2.53,2005_01_28
C#,2.82,2005_02_31
C#,2.77,2005_03_30
C#,2.78,2005_04_31
C#,3.14,2005_05_30
C#,3.48,2005_06_31
C#,3.29,2005_07_31
C#,3.46,2005_08_30
C#,3.31,2005_11_03
C#,3.55,2006_00_04
C#,3.97,2006_01_02
C#,3.15,2006_02_01
C#,3.95,2006_03_02
C#,3.27,2006_04_01
C#,3.24,2006_05_01
C#,3.40,2006_06_02
C#,2.68,2006_07_02
C#,2.99,2006_08_02
C#,3.06,2006_09_01
C#,3.02,2006_10_02
C#,3.17,2006_11_01
C#,3.52,2007_00_02
C#,3.19,2007_01_03
C#,3.37,2007_02_03
C#,3.55,2007_03_01
C#,3.66,2007_04_05
C#,3.48,2007_05_02
C#,3.71,2007_06_02
C#,3.99,2007_07_05
C#,3.58,2007_08_02
C#,3.74,2007_09_04
C#,3.92,2007_10_04
C#,3.99,2007_11_03
C#,4.86,2008_00_03
C#,4.51,2008_01_07
C#,4.06,2008_05_01
